stationId,stationLon,stationLat,capacity,charge_speed_station
520_ac,121.163721,31.032119,4.0,7.0
523_ac,121.438555,31.0323,12.0,7.0
524_ac,121.20969,31.032496,12.0,3.5
525_ac,121.63674,31.032563,3.0,3.5
528_ac,121.526468,31.032759,74.0,7.0
529_ac,121.442901,31.032844,9.0,7.0
530_ac,121.454575,31.032846,35.0,7.0
531_ac,121.218322,31.032849,15.0,4.2
533_ac,121.207057,31.033289,12.0,3.5
535_ac,121.214803,31.033424,6.0,7.0
537_ac,121.763972,31.033879,12.0,3.5
538_ac,121.211754,31.033906,12.0,3.5
539_ac,121.433981,31.034182,10.0,7.0
540_ac,121.433981,31.034182,2.0,7.0
541_ac,121.433981,31.034182,4.0,7.0
542_ac,121.433981,31.034182,11.0,7.0
543_ac,121.231072,31.034185,1.0,7.0
544_ac,121.538404,31.034252,2.0,7.0
545_ac,121.511194,31.034255,6.0,3.5
547_ac,121.24701,31.03456,2.0,7.0
548_ac,121.4857104,31.03460022,4.0,7.0
549_ac,121.76344,31.034605,12.0,3.5
551_ac,121.765854,31.03554,12.0,3.5
552_ac,121.541459,31.035858,3.0,7.0
553_ac,121.437582,31.035873,45.0,7.0
554_ac,121.452746,31.036156,29.0,7.0
557_ac,121.446575,31.036346,2.0,7.0
559_ac,121.584817,31.036456,6.0,7.0
560_ac,121.174327,31.036672,2.0,7.0
561_ac,121.175252,31.03674,10.0,7.0
563_ac,121.515643,31.036756,4.0,7.0
564_ac,121.765753,31.036802,6.0,5.833333333333333
565_ac,121.767822,31.036968,10.0,3.5
567_ac,121.448842,31.037141,28.0,7.0
568_ac,121.742919,31.03715,14.0,3.5
569_ac,121.471737,31.037196,22.0,7.0
570_ac,121.453589,31.037227,23.0,7.0
572_ac,121.302059,31.037557,12.0,3.5
576_ac,121.456736,31.038332,5.0,4.2
577_ac,121.467559,31.038445,6.0,7.0
578_ac,121.330059,31.038459,54.0,7.0
579_ac,121.250278,31.038505,6.0,3.5
580_ac,121.255838,31.038558,8.0,7.0
583_ac,121.201907,31.039159,12.0,3.5
586_ac,121.593594,31.039301,5.0,7.0
587_ac,121.456294,31.039303,12.0,3.5
588_ac,121.41023,31.039376,12.0,3.5
589_ac,121.179376,31.039422,36.0,3.5
595_ac,121.751998,31.039718,16.0,3.5
597_ac,121.451456,31.03991,24.0,7.0
599_ac,121.192911,31.040176,4.0,7.0
600_ac,121.458411,31.04035,30.0,3.5
601_ac,121.443484,31.040586,30.0,7.0
602_ac,121.407997,31.040599,6.0,3.5
603_ac,121.419564,31.040824,5.0,7.0
604_ac,121.457252,31.040871,12.0,3.5
607_ac,121.65195,31.041107,2.0,7.0
608_ac,121.615675,31.041284,3.0,7.0
609_ac,121.452364,31.04148,6.0,7.0
611_ac,121.759529,31.041549,16.0,3.5
612_ac,121.770185,31.041635,10.0,7.0
615_ac,121.757861,31.041884,12.0,3.5
616_ac,121.457774,31.041924,12.0,3.5
617_ac,121.248596,31.042061,6.0,7.0
618_ac,121.442333,31.042416,12.0,3.5
619_ac,121.721935,31.042514,1.0,7.0
620_ac,121.462504,31.042605,14.0,7.0
621_ac,121.451793,31.04306,12.0,3.5
622_ac,121.733919,31.04314,12.0,3.5
623_ac,121.442333,31.043176,24.0,3.5
624_ac,121.266926,31.043342,4.0,7.0
625_ac,121.454777,31.043374,12.0,3.5
626_ac,121.539005,31.043408,12.0,3.5
628_ac,121.44612,31.043626,12.0,3.5
629_ac,121.449816,31.043736,12.0,3.5
630_ac,121.451001,31.043768,12.0,3.5
631_ac,121.422477,31.043847,6.0,3.5
632_ac,121.392614,31.044075,5.0,7.0
635_ac,121.453015,31.044497,58.0,7.0
637_ac,121.531663,31.044729,12.0,3.5
638_ac,121.76662,31.044745,6.0,3.5
640_ac,121.217772,31.044831,4.0,7.0
641_ac,121.225478,31.04485,56.0,7.0
642_ac,121.533118,31.04499,12.0,3.5
643_ac,121.44571,31.045036,12.0,3.5
644_ac,121.593345,31.045324,1.0,7.0
645_ac,121.207965,31.045589,8.0,7.0
646_ac,121.318981,31.045912,8.0,3.5
649_ac,121.5365,31.046431,12.0,3.5
650_ac,121.5365,31.046431,12.0,3.5
651_ac,121.823657,31.046837,1.0,7.0
652_ac,121.406597,31.046932,6.0,3.5
653_ac,121.617566,31.046934,7.0,7.0
655_ac,121.535273,31.047482,12.0,3.5
657_ac,121.766075,31.047898,1.0,7.0
658_ac,121.408478,31.048177,6.0,3.5
659_ac,121.299585,31.048288,11.0,7.0
662_ac,121.544563,31.048623,3.0,5.833333333333333
663_ac,121.477537,31.048695,5.0,7.0
664_ac,121.726952,31.048861,12.0,3.5
665_ac,121.784787,31.049203,6.0,7.0
666_ac,121.848547,31.049272,2.0,7.0
667_ac,121.302242,31.049321,12.0,7.0
668_ac,121.552151,31.049342,6.0,7.0
669_ac,121.242556,31.049354,10.0,7.0
670_ac,121.466264,31.049829,5.0,7.0
672_ac,121.27239,31.050392,10.0,7.0
674_ac,121.24265,31.051202,9.0,7.0
675_ac,121.24265,31.051202,4.0,7.0
676_ac,121.3054,31.051321,11.0,7.0
677_ac,121.257576,31.051737,4.0,7.0
678_ac,121.790768,31.052133,11.0,7.0
679_ac,121.727033,31.052286,1.0,7.0
680_ac,121.244967,31.052302,12.0,3.5
681_ac,121.305733,31.052545,6.0,3.5
682_ac,121.534169,31.052597,22.0,3.5
683_ac,121.241976,31.05284,12.0,3.5
684_ac,121.305887,31.052862,3.0,7.0
685_ac,121.537587,31.053149,8.0,3.5
686_ac,121.537587,31.053149,12.0,3.5
687_ac,121.392297,31.053172,4.0,7.0
688_ac,121.409272,31.053823,5.0,7.0
689_ac,121.482216,31.054069,6.0,3.5
691_ac,121.539754,31.054316,12.0,3.5
692_ac,121.409315,31.054731,24.0,7.0
693_ac,121.595847,31.054836,5.0,7.0
695_ac,121.405593,31.054902,8.0,7.0
696_ac,121.541682,31.055062,6.0,7.0
698_ac,121.26556,31.055316,4.0,7.0
700_ac,121.206691,31.055902,8.0,7.0
701_ac,121.267046,31.056009,15.0,7.0
702_ac,121.727942,31.056538,12.0,3.5
704_ac,121.25696,31.056966,4.0,7.0
705_ac,121.745913,31.057111,12.0,3.5
706_ac,121.553931,31.057133,10.0,7.0
707_ac,121.405098,31.0572,12.0,3.5
708_ac,121.743884,31.057327,12.0,3.5
709_ac,121.24076,31.057347,4.0,7.0
710_ac,121.404991,31.057593,6.0,3.5
712_ac,121.754206,31.057737,12.0,3.5
714_ac,121.472215,31.05876,42.0,7.0
715_ac,121.420886,31.059225,12.0,3.5
716_ac,121.739743,31.060034,12.0,3.5
717_ac,121.513771,31.060091,12.0,3.5
718_ac,121.370914,31.060251,16.0,7.0
720_ac,121.779802,31.060849,6.0,7.0
721_ac,121.234808,31.060883,3.0,3.5
723_ac,121.743451,31.061313,12.0,3.5
726_ac,121.41973,31.062488,12.0,3.5
728_ac,121.520342,31.062839,3.0,7.0
729_ac,121.520257,31.062895,12.0,3.5
730_ac,121.776251,31.062978,25.0,7.0
732_ac,121.740148,31.063131,12.0,3.5
733_ac,121.451602,31.063185,10.0,7.0
734_ac,121.737185,31.063204,6.0,3.5
736_ac,121.758488,31.063298,8.0,7.0
738_ac,121.74591,31.063484,1.0,7.0
740_ac,121.34406,31.063918,12.0,3.5
741_ac,121.393845,31.064228,12.0,3.5
742_ac,121.346904,31.064318,6.0,3.5
743_ac,121.718728,31.06476,1.0,7.0
744_ac,121.389904,31.064978,6.0,3.5
745_ac,121.740683,31.065155,12.0,3.5
746_ac,121.509473,31.065298,12.0,3.5
747_ac,121.31654,31.065691,12.0,3.5
748_ac,121.46045,31.065812,12.0,3.5
750_ac,121.316895,31.066032,12.0,3.5
751_ac,121.396576,31.066423,12.0,3.5
752_ac,121.398518,31.066603,10.0,3.5
754_ac,121.519953,31.066853,12.0,7.0
755_ac,121.74794,31.066894,12.0,7.0
757_ac,121.746702,31.067326,12.0,3.5
758_ac,121.41687,31.06737,8.0,3.5
759_ac,121.745126,31.06749,12.0,3.5
760_ac,121.314557,31.067682,10.0,3.5
763_ac,121.3472452,31.06818256,6.0,7.0
765_ac,121.751444,31.068308,12.0,3.5
767_ac,121.759062,31.068352,16.0,3.5
768_ac,121.516411,31.068463,12.0,3.5
769_ac,121.36911,31.068469,16.0,3.5
770_ac,121.763489,31.068486,12.0,3.5
771_ac,121.748963,31.068882,12.0,3.5
772_ac,121.516279,31.069484,6.0,4.666666666666667
773_ac,121.504495,31.07,12.0,3.5
774_ac,121.755086,31.070125,12.0,3.5
775_ac,121.523214,31.070299,6.0,3.5
776_ac,121.395423,31.070472,1.0,7.0
778_ac,121.745227,31.070719,12.0,3.5
781_ac,121.751946,31.071168,8.0,3.5
784_ac,121.322384,31.071561,12.0,3.5
786_ac,121.3895141,31.07233316,8.0,7.0
787_ac,121.426435,31.072507,1.0,7.0
788_ac,121.422252,31.072809,12.0,3.5
789_ac,121.753523,31.07284,12.0,3.5
791_ac,121.320885,31.073022,12.0,3.5
792_ac,121.22154,31.073094,11.0,7.0
797_ac,121.32267,31.073359,12.0,3.5
798_ac,121.49166,31.073439,4.0,3.5
799_ac,121.529308,31.073455,12.0,7.0
800_ac,121.493273,31.07346,6.0,3.5
801_ac,121.641441,31.073675,2.0,7.0
806_ac,121.76082,31.074365,11.0,7.0
807_ac,121.599997,31.074675,12.0,3.5
808_ac,121.605946,31.07492,12.0,3.5
